PRODUCT_CODE,PRODUCT_NAME,BRAND_CODE,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
CCAUGEM,Latitude Gem Visa,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUGOM,GO Platinum Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
CCAULRM,Latitude Low Rate Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
CCAU28D,Latitude 28° Platinum Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUDJG,David Jones Prestige Credit Card,DJNAU,Y,N,1900-01-01,9999-12-31
CCAUDJM,David Jones Premiere Credit Card,DJNAU,Y,N,1900-01-01,9999-12-31
CCAUDJI,David Jones Icon Credit Card,DJNAU,Y,N,1900-01-01,9999-12-31
CCNZGEM,Gem Visa,LFSNZ,Y,N,1900-01-01,9999-12-31
CCAULMC,Latitude Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUECO,Eco Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUINF,Latitude Infinity Rewards Visa,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUING,Latitude Infinity Rewards Platinum,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUAFS,Credit Line,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUBE,Buyer's Edge,LFSAU,Y,N,1900-01-01,9999-12-31
CCAUCCD,Care Credit,LFSAU,Y,N,1900-01-01,9999-12-31
CCNZOCV,Gem Essential,LFSNZ,Y,N,1900-01-01,9999-12-31
CCAUCLN,Credit Line,LFSAU,Y,N,1900-01-01,9999-12-31
CCNZCLN,Credit Line,LFSNZ,Y,N,1900-01-01,9999-12-31
CCNZGLN,Gem CreditLine,LFSNZ,Y,N,1900-01-01,9999-12-31
GOBUSMC,Go Business Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
MYERB,Myer Black,LFSAU,Y,N,1900-01-01,9999-12-31
CLNZ,CreditLine NZ,LFSNZ,Y,N,1900-01-01,9999-12-31
UMI,UMI,LFSAU,Y,N,1900-01-01,9999-12-31
SHELLMC,Shell Mastercard,LFSAU,Y,N,1900-01-01,9999-12-31
DQMapping,Source value cannot be mapped,DQMapping,Y,N,1900-01-01,9999-12-31
DQMissing,Source value not provided,DQMissing,Y,N,1900-01-01,9999-12-31
DQNotApplicable,Source value not required,DQNotApplicable,Y,N,1900-01-01,9999-12-31
